This file was created by CMPT_IND_RETS using the 202103 CRSP database.
It contains value- and equal-weighted returns for 12 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
192607,   1.45,  15.55,   3.67,  -1.18,   8.01,   3.16,   0.83,   7.04,   0.11,   1.77,   0.37,   2.24
192608,   3.97,   3.68,   2.42,   3.47,   5.14,   1.97,   2.17,  -1.69,  -0.71,   4.25,   4.46,   4.37
192609,   1.14,   4.80,  -0.07,  -3.39,   5.30,  -0.34,   2.41,   2.04,   0.21,   0.69,  -1.23,   0.35
192610,  -1.24,  -8.23,  -3.16,  -0.78,  -4.55,  -5.38,  -0.11,  -2.63,  -2.29,  -0.57,  -5.16,  -2.76
192611,   5.20,  -0.19,   3.82,   0.01,   5.11,   4.79,   1.63,   3.71,   6.43,   5.42,   2.24,   2.10
192612,   0.82,   9.89,   3.72,   2.82,   5.13,  -1.78,   1.99,  -0.17,   0.62,   0.11,   2.68,   3.43
192701,  -0.67,  -0.92,  -0.36,   1.29,   0.29,  -0.77,   1.88,  -1.79,  -2.55,   5.05,  -2.38,   1.65
192702,   3.37,   8.91,   4.60,   1.47,   9.56,   4.60,   3.97,   4.53,   3.61,   1.71,   2.97,   5.13
192703,   2.73,   1.62,   0.36,  -6.01,   5.95,   0.55,   5.56,   0.37,  -0.41,   1.01,   1.36,   1.26
192704,   3.35,   3.15,   0.17,  -5.17,   2.79,   6.20,  -2.13,   1.71,   4.46,   2.74,   2.89,   0.79
192705,   8.14,   5.93,   5.41,   4.82,   4.14,   7.71,   3.35,   9.21,   2.34,   4.12,  10.25,   6.30
192706,  -1.79,  -3.00,  -2.58,  -3.16,  -1.73,   2.88,  -2.14,  -3.57,  -0.62,   0.54,  -0.03,  -2.19
192707,   4.81,  13.09,  10.10,   2.85,  17.10,  13.32,   3.73,   5.31,   9.84,   9.84,   6.59,   6.07
192708,   2.76,   6.98,   3.01,  -0.04,   2.11,   6.73,   0.43,   3.43,   7.34,   0.28,   1.70,  -1.20
192709,   5.24,   5.67,   4.31,   3.32,   5.79,   0.86,   6.53,   8.29,   7.50,   5.65,   6.17,   4.51
